FZ,C3,CZ,C4,PZ,PO7,OZ,PO8,Counter,Validation
152758.71875,152959.796875,153129.75,153268.6875,153098.015625,153145.046875,153350.3125,153159.34375,4816.0,1.0
152758.71875,152959.796875,153129.75,153268.6875,153098.015625,153145.046875,153350.3125,153159.34375,4817.0,0.0
150132.203125,150331.671875,150503.421875,150640.21875,150471.328125,150517.1875,150722.203125,150531.9375,4818.0,1.0
150132.203125,150331.671875,150503.421875,150640.21875,150471.328125,150517.1875,150722.203125,150531.9375,4819.0,0.0
148037.3125,148236.234375,148409.6875,148544.96875,148376.515625,148421.671875,148626.5,148437.234375,4820.0,1.0
148037.3125,148236.234375,148409.6875,148544.96875,148376.515625,148421.671875,148626.5,148437.234375,4821.0,0.0
154173.484375,154375.015625,154543.90625,154684.1875,154513.0625,154560.53125,154766.609375,154574.484375,4822.0,1.0
154173.484375,154375.015625,154543.90625,154684.1875,154513.0625,154560.53125,154766.609375,154574.484375,4823.0,0.0
146475.375,146673.671875,146848.015625,146981.40625,146814.21875,146858.296875,147063.046875,146874.921875,4824.0,1.0
146475.375,146673.671875,146848.015625,146981.40625,146814.21875,146858.296875,147063.046875,146874.921875,4825.0,0.0
152860.71875,153061.71875,153232.125,153371.15625,153200.734375,153247.234375,153453.140625,153261.984375,4826.0,1.0
152860.71875,153061.71875,153232.125,153371.15625,153200.734375,153247.234375,153453.140625,153261.984375,4827.0,0.0
150432.34375,150631.90625,150803.921875,150940.984375,150771.375,150817.6875,151023.234375,150832.890625,4828.0,1.0
150432.34375,150631.90625,150803.921875,150940.984375,150771.375,150817.6875,151023.234375,150832.890625,4829.0,0.0
148128.421875,148327.34375,148500.34375,148635.171875,148467.0,148512.15625,148717.515625,148528.0625,4830.0,1.0
148128.421875,148327.34375,148500.34375,148635.171875,148467.0,148512.15625,148717.515625,148528.0625,4831.0,0.0
154388.875,154590.84375,154759.375,154899.75,154728.625,154775.828125,154981.640625,154790.3125,4832.0,1.0
154388.875,154590.84375,154759.375,154899.75,154728.625,154775.828125,154981.640625,154790.3125,4833.0,0.0
146674.84375,146873.234375,147047.484375,147180.796875,147013.6875,147058.03125,147262.953125,147074.3125,4834.0,1.0
146674.84375,146873.234375,147047.484375,147180.796875,147013.6875,147058.03125,147262.953125,147074.3125,4835.0,0.0
152931.09375,153131.890625,153302.046875,153441.0625,153270.921875,153317.59375,153523.046875,153332.265625,4836.0,1.0
152931.09375,153131.890625,153302.046875,153441.0625,153270.921875,153317.59375,153523.046875,153332.265625,4837.0,0.0
150703.0625,150902.796875,151074.546875,151211.53125,151042.09375,151088.328125,151293.875,151103.703125,4838.0,1.0
150703.0625,150902.796875,151074.546875,151211.53125,151042.09375,151088.328125,151293.875,151103.703125,4839.0,0.0
148201.90625,148400.65625,148574.109375,148708.9375,148541.125,148585.828125,148791.1875,148602.09375,4840.0,1.0
148201.90625,148400.65625,148574.109375,148708.9375,148541.125,148585.828125,148791.1875,148602.09375,4841.0,0.0
154587.4375,154789.234375,154957.859375,155098.671875,154927.375,154974.578125,155180.84375,154989.15625,4842.0,1.0
154587.4375,154789.234375,154957.859375,155098.671875,154927.375,154974.578125,155180.84375,154989.15625,4843.0,0.0
146882.625,147080.75,147255.171875,147388.75,147221.5625,147265.640625,147470.640625,147282.0,4844.0,1.0
146882.625,147080.75,147255.171875,147388.75,147221.5625,147265.640625,147470.640625,147282.0,4845.0,0.0
